"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\bnrdevelopment\Desktop\asd\src\i18n\en.json", "JSON", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\bnrdevelopment\Desktop\asd\src\i18n\index.js", "JavaScript", 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\bnrdevelopment\Desktop\asd\src\i18n\tr.json", "JSON", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\bnrdevelopment\Desktop\asd\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\main.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\home\Home.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 1, 10, 58
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\home\home.css", "PostCSS", 0, 0, 13, 0, 0, 14, 4, 31
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\color\ColorPage.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 10, 66
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\color\colorPage.css", "PostCSS", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\design\DesignPage.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 9, 19, 186
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\design\designPage.css", "PostCSS", 0, 0, 80, 0, 0, 2, 11, 93
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\gradient\GradientPage.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 1, 10, 88
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\gradient\gradientPage.css", "PostCSS", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\layerOrder\LayerOrder.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 3, 22, 137
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\layerOrder\layerOrder.css", "PostCSS", 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\logo\LogoPage.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 1, 20, 180
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\logo\logoPage.css", "PostCSS", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\pattern\PatternPage.jsx", "JavaScript JSX", 0, 140, 0, 0, 0, 0, 20, 160
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\pattern\patternPage.css", "PostCSS", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\sticker\StickerPage.jsx", "JavaScript JSX", 0, 164, 0, 0, 0, 2, 17, 183
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\sticker\stickerPage.css", "PostCSS", 0, 0, 21, 0, 0, 1, 5, 27
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\text\TextPage.jsx", "JavaScript JSX", 0, 180, 0, 0, 0, 2, 24, 206
"c:\Users\bnrdevelopment\Desktop\asd\src\pages\subPages\text\textPage.css", "PostCSS", 0, 0, 44, 0, 0, 1, 8, 53
"c:\Users\bnrdevelopment\Desktop\asd\src\shaders\VertexShader.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\bnrdevelopment\Desktop\asd\src\shaders\fragmentShader.js", "JavaScript", 55, 0, 0, 0, 0, 0, 1, 56
"c:\Users\bnrdevelopment\Desktop\asd\src\store\configStore.js", "JavaScript", 327, 0, 0, 0, 0, 5, 14, 346
"c:\Users\bnrdevelopment\Desktop\asd\src\store\configuratorStore.js", "JavaScript", 309, 0, 0, 0, 0, 52, 32, 393
"c:\Users\bnrdevelopment\Desktop\asd\src\store\uiStore.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\calculations\calculateActionButtonBorders.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\calculations\calculateItemBoundsForShader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\calculations\itemWholeBoundryCalculate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\calculations\resetBoundries.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
